Artists,Title,Quality,Transpose,Link,,,,,
Harold Arlen,Somewhere Over The Rainbow,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/24161/Product.aspx,,,,,
Harold Arlen,Stormy Weather,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/13857/Product.aspx,,,,,
Harry James,"It's Been A Long, Long Time",★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/51287/Product.aspx,,,,,
Harry Styles,She,★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/446313/Product.aspx,,,,,
Harry Styles,Adore You,,,https://www.sheetmusicwdirect.com/en-US/se/ID_No/435370/Product.aspx,,,,,
Harry Styles,As It Was,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/859565/Product.aspx,,,,,
Harry Styles,Watermelon Sugar,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/442365/Product.aspx,,,,,
Heart,Crazy on You,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/26398/Product.aspx,,,,,
Heart,What About Love?,,0,https://www.sheetmusicdirect.com/en-US/se/ID_No/30721/Product.aspx,,,,,
"Heatwave, Rod Temperton",Always and Forever,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/19811/Product.aspx,,,,,
Henry Mancini,Moon River,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/16411/Product.aspx,,,,,
I Think They Call This Love,Elliot James Raey,★★★★,,https://musescore.com/user/90375058/scores/22876636,,,,,
Illenium and Jon Bellion,Good Things Fall Apart,,,https://musescore.com/official_scores/scores/6944678,,,,,
Incubus,Drive,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/18035/Product.aspx,,,,,
Infected Mushroom,Heavyweight,,,PDF,,,,,
Irving Berlin,It's Over,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/65431/Product.aspx,,,,,
James Blunt,No Bravery,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/32365/Product.aspx,,,,,
James Blunt,Wisemen,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/32856/Product.aspx,,,,,
James Blunt,1973,,,https://www.sheetmusicdirect.com/en-US/se/ID_No/62565/Product.aspx,,,,,
James Ingram,Just Once,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/21434/Product.aspx,,,,,
Jason Mraz,93 Million Miles,★★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/92118/Product.aspx,,,,,
Jason Mraz,It's So Hard to Say Goodbye to Yesterday,★★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/155105/Product.aspx,,,,,
Jason Mraz,I Won't Give Up,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/87788/Product.aspx,,,,,
Jason Mraz,Love for a Child,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/73919/Product.aspx,,,,,
Jason Mraz,Love Someone,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/154425/Product.aspx,,,,,
Jason Mraz,Mr. Curiosity,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/54403/Product.aspx,,,,,
Jason Mraz,Plane,★★,,https://www.sheetmusicdirect.com/en-US/se/ID_No/54350/Product.aspx,,,,,
